iter	Passed	Remaining
1398	24457	751
1399	24476	734
1400	24491	716
1401	24510	699
1402	24528	681
1403	24545	664
1404	24562	646
1405	24581	629
1406	24598	611
1407	24617	594
1408	24634	576
1409	24650	559
1410	24668	541
1411	24684	524
1412	24697	506
1413	24713	489
1414	24730	471
1415	24745	454
1416	24761	436
1417	24778	419
1418	24797	401
1419	24817	384
1420	24836	367
1421	24854	349
1422	24872	332
1423	24890	314
1424	24908	297
1425	24924	279
1426	24942	262
1427	24960	244
1428	24977	227
1429	24994	209
1430	25011	192
1431	25026	174
1432	25042	157
1433	25058	139
1434	25074	122
1435	25093	104
1436	25112	87
1437	25128	69
1438	25147	52
1439	25165	34
1440	25183	17
1441	25201	0
